Albania,TIRANA
Andorra,ANDORRA LA VELLA
Armenia,YEREVAN
Austria,VIENNA
Azerbaijan,BAKU
Belarus,MINSK
Belgium,BRUSSELS
Bosnia and Herzegovina,SARAJEVO
Bulgaria,SOFIA
Croatia,ZAGREB
Cyprus,NICOSIA
Czech Republic,PRAGUE
Denmark,COPENHAGEN
Estonia,TALLINN
Finland,HELSINKI
France,PARIS
Georgia,TBILISI
Germany,BERLIN
Greece,ATHENS
Hungary,BUDAPEST
Iceland,REYKJAVIK
Ireland,DUBLIN
Italy,ROME
Kazakhstan,ASTANA
Kosovo,PRISTINA
Latvia,RIGA
Liechtenstein,VADUZ
Lithuania,VILNIUS
Luxembourg,LUXEMBOURG
Macedonia,SKOPJE
Malta,VALLETTA
Moldova,CHISINAU
Monaco,MONACO
Montenegro,PODGORICA
Netherlands,AMSTERDAM
Norway,OSLO
Poland,WARSAW
Portugal,LISBON
Romania,BUCHAREST
Russia,MOSCOW
San Marino,SAN MARINO
Serbia,BELGRADE
Slovakia,BRATISLAVA
Slovenia,LJUBLJANA
Spain,MADRID
Sweden,STOCKHOLM
Switzerland,BERN
Turkey,ANKARA
Ukraine,KIEV
United Kingdom,LONDON
Vatican City,VATICAN CITY
